Highlight,Title,Author,URL,Note,Location,Date
"Iederegoede daad is een steen in een vijver, met rimpelingen die meters doorgolven. ‘We zien meestal niet’, vertelt een van de onderzoekers, ‘hoe onze generositeit, door een sociaal netwerk, het leven van tientallen of misschien wel honderden andere mensen beïnvloedt.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,1,2025-10-08 22:02:00
"‘Doe niet voor anderen wat je wilt dat zij voor jou zouden doen’,schreef hij. ‘Ze zouden weleens een andere smaak kunnen hebben.’8","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,George Bernard Shaw,2,2025-10-07 22:19:00
"Van de mooiste dingen in het leven krijg je alleen maar meer als je ze weggeeft: vertrouwen, vriendschap, vrede.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,3,2025-10-07 22:03:00
"Zelfs in oorlogstijd is er een berg van vrede, die ieder moment kan bovendrijven. Generaals, politici en ophitsers moeten alles uit de kast trekken – geweld, dwang,nepnieuws – om die berg onder water te duwen.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,4,2025-10-07 22:00:00
"‘Als je tegen iemand praat in een taal die hij begrijpt’,zou hij later zeggen, ‘dan gaat dat naar zijn hoofd.Maar als je iemand toespreekt in zijn eigen taal,dan gaat dat naar zijn hart.’","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Mandela,5,2025-10-06 22:04:00
"Contact leidt tot meer vertrouwen, meer saamhorigheid en meer hulp over en weer. Het helpt om de wereld te zien door de ogen van een ander. En het verandert je als persoon: mensen met een diverse vriendengroep zijn ook toleranter tegenover vreemden.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,6,2025-10-06 22:02:00
"meer democratie,meer openheid en meer menselijkheid zijn niet makkelijk. Integendeel: stoer doen, wraak nemen,grenzen sluiten, bommen gooien, de wereld opdelen in goede en slechte mensen – dat is makkelijk. Dát is wegkijken.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,7,2025-10-05 22:54:00
"Moordenaars opsluiten in een gezellig dorp? Wat zouden de slachtoffers hier wel niet van denken?
Maar toen las ik de nuchtere uitleg van Tom Eberhardt. Hij wijst erop dat bijna iedere gevangene weer vrijkomt. Meer dan 90 procentvan de Noorse gevangenen staat zelfs binnen een jaar weer buiten, en dan worden ze hoe dan ook iemands buurvrouw of buurman.4 ‘Luister, ieder jaar laten wij buren vrij’, zei Tom tegen een Amerikaanse journalist, ‘wil je soms dat ik ze loslaat als tikkende tijdbommen?’","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,doel: straffen of veiligheid maatschappij.,8,2025-10-05 22:31:00
"Behandel mensen als tuig, en ze zullen tuig zijn. Behandel ze als mensen,en ze zullen zich gedragen als mensen.’","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,9,2025-10-05 22:30:00
"‘Het tegenovergestelde van spelen is niet werk’, schreef de psycholoog Brian Sutton-Smith eens, ‘het tegenovergestelde van spelen is depressie.’40 En de manier waarop velen van ons nu werken – zonder vrijheid, zonder spel, zonder intrinsieke motivatie – maakt steeds meer mensen depressief","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,10,2025-10-04 22:50:00
